이름: 곽파타, 키: 178, 몸무게: 75,  
이름: 강다룡, 키: 202, 몸무게: 102,  
이름: 김바나, 키: 192, 몸무게: 67,  
이름: 박사차, 키: 200, 몸무게: 78,  
이름: 이자다, 키: 185, 몸무게: 62,  
이름: 이가다, 키: 197, 몸무게: 48,  
이름: 최룡카, 키: 209, 몸무게: 91,  
이름: 최카사, 키: 165, 몸무게: 102,  
이름: 적나룡, 키: 196, 몸무게: 96,  
이름: 최마하, 키: 207, 몸무게: 70,  
이름: 강사자, 키: 179, 몸무게: 64,  
이름: 정다가, 키: 195, 몸무게: 106,  
이름: 정마가, 키: 170, 몸무게: 115,  
이름: 송타타, 키: 200, 몸무게: 45,  
이름: 정자가, 키: 163, 몸무게: 107,  
이름: 정나룡, 키: 173, 몸무게: 116,  
이름: 오하다, 키: 161, 몸무게: 89,  
이름: 김카가, 키: 210, 몸무게: 118,  
이름: 고바자, 키: 199, 몸무게: 73,  
이름: 손룡파, 키: 164, 몸무게: 56,  
이름: 구타다, 키: 180, 몸무게: 99,  
이름: 손파차, 키: 198, 몸무게: 91,  
이름: 정하마, 키: 171, 몸무게: 58,  
이름: 구아아, 키: 166, 몸무게: 73,  
이름: 정공마, 키: 166, 몸무게: 94,  
이름: 곽하타, 키: 209, 몸무게: 61,  
이름: 최타바, 키: 202, 몸무게: 109,  
이름: 구룡룡, 키: 209, 몸무게: 71,  
이름: 이차라, 키: 194, 몸무게: 54,  
이름: 이차사, 키: 187, 몸무게: 100,  
이름: 류파가, 키: 178, 몸무게: 82,  
이름: 유파바, 키: 183, 몸무게: 87,  
이름: 김마마, 키: 199, 몸무게: 52,  
이름: 김하룡, 키: 183, 몸무게: 85,  
이름: 유가파, 키: 160, 몸무게: 45,  
이름: 이바카, 키: 179, 몸무게: 69,  
이름: 적하자, 키: 203, 몸무게: 63,  
이름: 손아바, 키: 170, 몸무게: 44,  
이름: 고카라, 키: 162, 몸무게: 105,  
이름: 손가아, 키: 193, 몸무게: 65,  
이름: 적나바, 키: 171, 몸무게: 110,  
이름: 적나공, 키: 172, 몸무게: 115,  
이름: 손룡파, 키: 197, 몸무게: 119,  
이름: 박가타, 키: 186, 몸무게: 96,  
이름: 유공아, 키: 169, 몸무게: 72,  
이름: 유다타, 키: 181, 몸무게: 40,  
이름: 구라라, 키: 190, 몸무게: 59,  
이름: 곽마차, 키: 177, 몸무게: 86,  
이름: 고다가, 키: 203, 몸무게: 97,  
이름: 구라라, 키: 184, 몸무게: 63,  
이름: 최하공, 키: 170, 몸무게: 100,  
이름: 이룡자, 키: 164, 몸무게: 109,  
이름: 적자아, 키: 206, 몸무게: 52,  
이름: 손마룡, 키: 191, 몸무게: 80,  
이름: 강하아, 키: 169, 몸무게: 114,  
이름: 유룡다, 키: 161, 몸무게: 84,  
이름: 구하룡, 키: 161, 몸무게: 86,  
이름: 곽나타, 키: 165, 몸무게: 63,  
이름: 유자룡, 키: 169, 몸무게: 84,  
이름: 류하파, 키: 209, 몸무게: 80,  
이름: 최타파, 키: 198, 몸무게: 65,  
이름: 류바파, 키: 192, 몸무게: 85,  
이름: 유아파, 키: 173, 몸무게: 107,  
이름: 박파타, 키: 180, 몸무게: 49,  
이름: 송파아, 키: 209, 몸무게: 95,  
이름: 이마룡, 키: 171, 몸무게: 40,  
이름: 김타차, 키: 181, 몸무게: 65,  
이름: 유자마, 키: 204, 몸무게: 73,  
이름: 박카마, 키: 191, 몸무게: 82,  
이름: 고룡나, 키: 165, 몸무게: 78,  
이름: 정사아, 키: 191, 몸무게: 53,  
이름: 적공라, 키: 204, 몸무게: 89,  
이름: 박공자, 키: 174, 몸무게: 47,  
이름: 손카사, 키: 202, 몸무게: 109,  
이름: 이차아, 키: 191, 몸무게: 120,  
이름: 송아타, 키: 187, 몸무게: 49,  
이름: 고나차, 키: 182, 몸무게: 62,  
이름: 오카타, 키: 194, 몸무게: 86,  
이름: 손가파, 키: 198, 몸무게: 103,  
이름: 유공룡, 키: 196, 몸무게: 103,  
이름: 곽마공, 키: 191, 몸무게: 87,  
이름: 이하마, 키: 209, 몸무게: 112,  
이름: 정아룡, 키: 171, 몸무게: 109,  
이름: 최바다, 키: 181, 몸무게: 95,  
이름: 최바공, 키: 190, 몸무게: 113,  
이름: 박사바, 키: 209, 몸무게: 63,  
이름: 정룡카, 키: 165, 몸무게: 50,  
이름: 이바파, 키: 187, 몸무게: 100,  
이름: 박파나, 키: 201, 몸무게: 44,  
이름: 송다마, 키: 177, 몸무게: 119,  
이름: 곽다라, 키: 185, 몸무게: 118,  
이름: 정라타, 키: 204, 몸무게: 64,  
이름: 곽마룡, 키: 205, 몸무게: 74,  
이름: 이공자, 키: 182, 몸무게: 115,  
이름: 손자아, 키: 177, 몸무게: 47,  
이름: 손나하, 키: 184, 몸무게: 111,  
이름: 곽차카, 키: 168, 몸무게: 120,  
이름: 유하공, 키: 193, 몸무게: 58,  
이름: 김라바, 키: 205, 몸무게: 98,  
이름: 고하사, 키: 205, 몸무게: 120,  
이름: 곽자라, 키: 192, 몸무게: 42,  
이름: 이다차, 키: 163, 몸무게: 106,  
이름: 구룡파, 키: 177, 몸무게: 98,  
이름: 박하공, 키: 195, 몸무게: 70,  
이름: 구룡다, 키: 170, 몸무게: 40,  
이름: 적바가, 키: 181, 몸무게: 46,  
이름: 적라차, 키: 182, 몸무게: 71,  
이름: 적카사, 키: 167, 몸무게: 40,  
이름: 구나카, 키: 173, 몸무게: 105,  
이름: 오아아, 키: 160, 몸무게: 61,  
이름: 손공공, 키: 195, 몸무게: 50,  
이름: 최자라, 키: 166, 몸무게: 87,  
이름: 이다타, 키: 191, 몸무게: 116,  
이름: 정아파, 키: 165, 몸무게: 70,  
이름: 곽타마, 키: 162, 몸무게: 52,  
이름: 최라파, 키: 180, 몸무게: 105,  
이름: 유자공, 키: 171, 몸무게: 53,  
이름: 김하바, 키: 162, 몸무게: 84,  
이름: 정카자, 키: 190, 몸무게: 118,  
이름: 곽마룡, 키: 202, 몸무게: 114,  
이름: 손사하, 키: 207, 몸무게: 117,  
이름: 강사나, 키: 161, 몸무게: 108,  
이름: 김사하, 키: 189, 몸무게: 113,  
이름: 고아바, 키: 172, 몸무게: 94,  
이름: 박라마, 키: 191, 몸무게: 113,  
이름: 박바라, 키: 161, 몸무게: 73,  
이름: 고바가, 키: 207, 몸무게: 47,  
이름: 고공룡, 키: 172, 몸무게: 43,  
이름: 최아바, 키: 205, 몸무게: 84,  
이름: 고자나, 키: 177, 몸무게: 87,  
이름: 오하차, 키: 197, 몸무게: 94,  
이름: 최하타, 키: 173, 몸무게: 55,  
이름: 송마바, 키: 183, 몸무게: 95,  
이름: 오나다, 키: 172, 몸무게: 106,  
이름: 정하카, 키: 190, 몸무게: 99,  
이름: 송차사, 키: 195, 몸무게: 107,  
이름: 류룡카, 키: 169, 몸무게: 115,  
이름: 김라차, 키: 172, 몸무게: 76,  
이름: 강파파, 키: 198, 몸무게: 45,  
이름: 김라가, 키: 172, 몸무게: 88,  
이름: 정라파, 키: 196, 몸무게: 87,  
이름: 적마룡, 키: 193, 몸무게: 85,  
이름: 류바카, 키: 192, 몸무게: 112,  
이름: 고카타, 키: 180, 몸무게: 78,  
이름: 이다공, 키: 207, 몸무게: 118,  
이름: 손아가, 키: 180, 몸무게: 81,  
이름: 오자아, 키: 181, 몸무게: 94,  
이름: 손바파, 키: 210, 몸무게: 99,  
이름: 강나나, 키: 193, 몸무게: 45,  
이름: 김가자, 키: 174, 몸무게: 86,  
이름: 오하타, 키: 209, 몸무게: 67,  
이름: 고사자, 키: 203, 몸무게: 43,  
